State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
116,3436,99.8291962,666,666,M,OC,AU,No,No
117,3487,99.8089371,665,665,M,OC,SVU,No,No
118,3491,99.8089371,665,665,F,OC,OU,No,No
119,3494,99.8089371,665,665,M,OC,OU,No,No
120,3513,99.8089371,665,665,M,OC,AU,No,No
121,3521,99.8089371,665,665,F,OC,OU,No,No
122,3543,99.8089371,665,665,F,OC,OU,No,No
123,3548,99.8089371,665,665,F,OC,OU,No,No
124,3579,99.8089371,665,665,M,OC,OU,No,No
125,3612,99.8089371,665,665,M,OC,OU,No,No
126,3632,99.8089371,665,665,F,OC,OU,No,No
127,3644,99.8089371,665,665,F,BCB,OU,No,No
128,3654,99.8089371,665,665,M,OC,OU,No,No
129,3684,99.8089371,665,665,F,OC,OU,No,No
130,3687,99.8089371,665,665,F,BCD,OU,No,No
131,3701,99.8089371,665,665,M,OC,AU,No,No
132,3728,99.8089371,665,665,F,OC,OU,No,No
133,3757,99.8089371,665,665,M,OC,OU,No,MSM
134,3836,99.8089371,665,665,M,BCD,OU,No,No
135,3851,99.8089371,665,665,F,OC,AU,No,No
136,3884,99.8089371,665,665,F,OC,OU,No,No
137,3940,99.8055524,664,664,M,BCB,OU,No,No
138,4070,99.7934363,662,662,M,BCD,SVU,No,No
139,4078,99.7934363,662,662,M,OC,AU,No,No
140,4086,99.7934363,662,662,F,BCD,OU,No,No
141,4098,99.7934363,662,662,F,OC,SVU,No,No
142,4126,99.7934363,662,662,F,OC,SVU,No,No
143,4127,99.7934363,662,662,M,OC,SVU,No,No
144,4214,99.7820068,661,661,F,OC,SVU,No,No
145,4259,99.7820068,661,661,M,OC,AU,No,No
146,4314,99.7820068,661,661,M,OC,SVU,No,No
147,4333,99.7820068,661,661,F,BCB,AU,No,No
148,4344,99.7820068,661,661,F,OC,OU,No,No
149,4354,99.7820068,661,661,M,BCB,AU,No,No
150,4357,99.7820068,661,661,M,OC,OU,No,No
151,4460,99.7615025,660,660,M,OC,AU,No,No
152,4515,99.7615025,660,660,F,BCB,NL,No,No
153,4546,99.7615025,660,660,M,OC,AU,No,No
154,4582,99.7615025,660,660,F,OC,OU,No,No
155,4698,99.7615025,660,660,M,OC,OU,No,No
156,4756,99.7615025,660,660,M,OC,OU,No,No
157,4760,99.7615025,660,660,M,OC,NL,No,No
158,4798,99.7615025,660,660,F,OC,SVU,No,No
159,4837,99.7615025,660,660,M,OC,OU,No,No
160,4864,99.7566462,659,659,F,OC,OU,No,No
161,4879,99.7566462,659,659,M,BCD,OU,No,No
162,4888,99.7566462,659,659,F,OC,AU,No,No
163,4962,99.7504165,658,658,M,BCE,OU,No,MSM
164,4981,99.7504165,658,658,M,BCB,OU,No,No
