COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",66195,AU,OC,M,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",69482,AU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",77931,AU,OC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",82593,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",83143,AU,OC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",85878,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",86603,SVU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",88051,SVU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",100093,AU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",100360,SVU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",101535,AU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",107673,AU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",109266,AU,BCD,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",115641,AU,BCB,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",115680,AU,BCA,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",116181,AU,BCC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",120931,AU,BCA,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",124899,AU,BCD,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",138463,SVU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",150906,SVU,BCB,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",154599,AU,BCA,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",162869,OU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",164791,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",165840,AU,BCC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",167529,OU,OC,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",167867,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",168367,NL,SC,M,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169386,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169404,AU,BCD,M,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",169431,OU,OC,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",170197,AU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",171270,AU,SC,F,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",173784,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",175515,OU,OC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",176891,OU,OC,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",178979,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",180182,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",181348,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",181439,AU,BCB,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",184253,OU,BCB,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",185505,OU,BCE,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",185616,OU,BCB,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",186577,SVU,BCE,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",186725,OU,BCB,M,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",187904,OU,BCD,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",193661,AU,SC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",195933,SVU,SC,F,,P1
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",201697,AU,SC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",204281,AU,SC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",208604,SVU,BCA,M,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",212499,AU,SC,F,,P4
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",225591,SVU,ST,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",226248,AU,ST,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",226975,AU,SC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",232956,OU,ST,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",233170,OU,ST,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",234525,OU,ST,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",251724,SVU,SC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",259551,OU,BCA,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",266687,OU,BCA,M,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",266764,OU,SC,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",277971,SVU,BCD,F,,P5
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",301230,AU,BCD,M,,P7
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",301259,AU,ST,F,,P3
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",308481,AU,BCA,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",308783,AU,BCB,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",317819,OU,SC,F,,P5
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",321760,AU,BCC,F,,P6
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",347987,OU,BCB,F,,P2
"GOVT DENTAL COLLEGE AND HOSPITAL, HYDERABAD",358844,AU,BCA,F,,P6
"ARMY COLLEGE OF DENTAL SCIENCES, SECUNDERABAD",185773,OU,BCD,M,,P3
"ARMY COLLEGE OF DENTAL SCIENCES, SECUNDERABAD",197374,OU,OC,F,,P3
"ARMY COLLEGE OF DENTAL SCIENCES, SECUNDERABAD",205450,OU,BCB,F,,P3
"ARMY COLLEGE OF DENTAL SCIENCES, SECUNDERABAD",209704,OU,BCB,F,,P4
"ARMY COLLEGE OF DENTAL SCIENCES, SECUNDERABAD",235814,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",176355,OU,OC,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",176501,SVU,BCB,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",182987,OU,OC,F,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",184181,OU,OC,M,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",187974,OU,OC,M,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",190511,OU,BCB,M,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",199059,OU,BCB,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",199865,OU,OC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",199967,OU,OC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",199980,OU,OC,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",201325,OU,BCD,F,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",201829,OU,BCE,F,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",202730,OU,BCE,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",202932,OU,OC,F,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",204212,OU,BCE,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",205533,OU,BCD,F,,P4
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",205625,OU,BCE,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",205792,OU,BCE,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",206867,OU,BCB,M,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",206918,OU,BCB,M,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",210489,OU,OC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",211219,OU,OC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",211228,OU,BCE,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",212894,OU,BCB,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",218604,OU,BCB,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",230388,SVU,BCD,F,,P4
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",242113,OU,ST,M,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",259557,OU,BCA,F,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",261215,OU,ST,M,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",263083,OU,BCA,F,,P1
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",264716,OU,ST,M,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",266919,OU,ST,M,,P2
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",277874,OU,SC,F,,P4
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",278562,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",297507,OU,BCB,F,,P5
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",299566,OU,SC,M,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",304600,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",304891,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",312107,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",312205,OU,SC,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",312730,OU,ST,F,,P4
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",334131,OU,BCB,F,,P7
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",359717,OU,BCA,F,,P3
"MALLA REDDY INSTITUTE OF DENTAL SCIENCES, HYD",363612,OU,BCB,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,135513,NL,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,143348,SVU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,145210,OU,OC,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,172668,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,179351,OU,BCD,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,182890,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,186600,OU,BCE,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,186704,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,187711,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,188204,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,190518,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,192200,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,193146,OU,BCE,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,193182,OU,BCE,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,194244,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,194405,OU,BCD,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,194415,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,194523,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,194693,NL,BCC,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,195865,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,195994,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,196300,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,197342,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,197380,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,197476,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,198491,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,198685,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,198706,OU,BCE,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,198870,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,205704,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,205933,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,216743,OU,BCD,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222505,OU,BCD,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222526,OU,BCD,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,224264,SVU,SC,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,241415,OU,ST,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,246827,OU,ST,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,253883,OU,ST,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,265560,OU,ST,F,,P1
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,271355,OU,ST,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,272979,OU,SC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,277987,OU,SC,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,280979,OU,SC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,283323,OU,BCA,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,284276,OU,SC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,292557,OU,BCA,F,,
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,187939,OU,OC,F,,P1
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,192755,OU,BCD,M,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,196077,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,202824,OU,OC,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,202944,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,203661,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,208254,OU,BCB,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,213840,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,215443,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,218290,OU,OC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,219492,OU,BCD,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,221518,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222508,OU,OC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222531,OU,OC,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222678,OU,BCB,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,222817,OU,BCD,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,225279,OU,BCD,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,225818,OU,BCD,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,227294,OU,BCD,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,229810,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,230266,OU,BCB,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,232958,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,233034,OU,BCB,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,233269,OU,BCB,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,237498,OU,BCD,F,,P5
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,242134,OU,BCB,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,242175,OU,BCB,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,242253,OU,BCE,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,242379,OU,BCD,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,243665,OU,BCB,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,248357,OU,BCD,F,,P5
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,251803,OU,BCD,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,252903,OU,BCE,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,265295,OU,ST,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,266401,OU,ST,M,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,273134,OU,ST,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,274715,OU,ST,M,,P1
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,278579,OU,ST,F,,P1
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,280054,OU,SC,F,,P4
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,286630,OU,SC,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,286968,OU,SC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,288713,OU,SC,M,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,289095,OU,SC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,292171,OU,SC,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,302837,OU,BCA,F,,P3
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,309384,OU,BCD,F,,P5
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,309414,OU,BCA,F,,P2
PANINEEYA MAHA VIDYALAYA INSTITUTE OF DENTAL SCIENCES,310249,OU,BCA,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",170006,AU,BCD,M,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",175175,AU,BCB,F,,P5
"MAMATA DENTAL COLLEGE, KHAMMAM",175886,AU,OC,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",190689,OU,BCD,F,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",209729,OU,OC,F,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",217272,OU,BCB,F,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",219092,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",221090,SVU,BCB,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",222651,OU,BCD,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",235934,OU,OC,F,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",237933,OU,OC,M,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",239029,OU,OC,M,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",240680,OU,BCB,F,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",247189,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",248547,OU,BCE,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",255769,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",259543,OU,OC,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",261654,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",261755,OU,BCE,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",261821,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",262477,OU,OC,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",263037,OU,OC,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",264801,OU,BCE,F,,P5
"MAMATA DENTAL COLLEGE, KHAMMAM",268213,OU,BCD,F,,P7
"MAMATA DENTAL COLLEGE, KHAMMAM",269760,OU,BCE,F,,P5
"MAMATA DENTAL COLLEGE, KHAMMAM",269848,OU,BCD,F,,P7
"MAMATA DENTAL COLLEGE, KHAMMAM",279793,OU,BCC,M,,P2
"MAMATA DENTAL COLLEGE, KHAMMAM",281736,OU,BCE,M,,P5
"MAMATA DENTAL COLLEGE, KHAMMAM",284352,OU,BCB,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",285152,OU,ST,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",286706,OU,ST,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",294523,OU,BCB,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",295944,OU,BCB,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",299168,OU,BCB,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",299192,OU,BCB,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",309242,OU,BCD,F,,P7
"MAMATA DENTAL COLLEGE, KHAMMAM",310481,OU,BCD,F,,P7
"MAMATA DENTAL COLLEGE, KHAMMAM",312100,AU,BCA,M,,P7
"MAMATA DENTAL COLLEGE, KHAMMAM",313913,OU,ST,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",319785,OU,SC,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",327605,OU,SC,M,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",341993,OU,ST,F,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",348360,OU,SC,M,,P4
"MAMATA DENTAL COLLEGE, KHAMMAM",361639,OU,BCA,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",367945,OU,BCA,F,,P3
"MAMATA DENTAL COLLEGE, KHAMMAM",382936,OU,SC,F,,P7
"SVS DENTAL COLLEGE, MAHABUBNAGAR",146481,SVU,OC,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",184144,OU,OC,F,,P5
"SVS DENTAL COLLEGE, MAHABUBNAGAR",186770,OU,OC,F,,P1
"SVS DENTAL COLLEGE, MAHABUBNAGAR",189522,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",195919,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",202913,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",206862,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",208528,OU,OC,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",209751,OU,BCE,F,,P5
"SVS DENTAL COLLEGE, MAHABUBNAGAR",211041,SVU,BCB,M,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",211046,OU,BCD,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",213952,SVU,SC,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",214047,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",221377,OU,BCB,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",224071,OU,OC,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",224227,OU,BCB,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",229368,OU,BCE,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",231462,OU,BCB,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",234409,OU,BCD,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",234784,OU,BCD,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",235866,OU,BCB,F,,P2
