     ,COLLEGE                                                        ,RANK    ,LOC ,CAT ,SX ,EWS ,PHASE
 554 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 213241 ,OU  ,OC  ,M  ,NO  ,P1
 555 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 235338 ,OU  ,OC  ,M  ,NO  ,P2
 556 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 240701 ,OU  ,BCD ,F  ,NO  ,P1
 557 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 248590 ,OU  ,BCD ,F  ,NO  ,P1
 558 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 259913 ,OU  ,SC  ,F  ,NO  ,P2
 559 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 273707 ,NL  ,OC  ,F  ,NO  ,P2
 560 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 276221 ,OU  ,BCA ,F  ,NO  ,P1
 561 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 278287 ,OU  ,BCB ,M  ,NO  ,P1
 562 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 299510 ,OU  ,SC  ,F  ,NO  ,P2
 563 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 331280 ,OU  ,BCD ,F  ,NO  ,P2
 564 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 349669 ,NL  ,OC  ,M  ,NO  ,P2
 565 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 354872 ,AU  ,OC  ,F  ,NO  ,P4
 566 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 362059 ,OU  ,BCE ,F  ,NO  ,P1
 567 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 372627 ,OU  ,OC  ,F  ,NO  ,P1
 568 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 378837 ,OU  ,BCA ,F  ,NO  ,P2
 569 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 380618 ,OU  ,BCB ,F  ,NO  ,P3
 570 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 383324 ,OU  ,BCD ,M  ,NO  ,P1
 571 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 385264 ,OU  ,OC  ,F  ,NO  ,P3
 572 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 388789 ,OU  ,BCB ,F  ,NO  ,P1
 573 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 393359 ,OU  ,BCB ,F  ,NO  ,P1
 574 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 394017 ,OU  ,BCA ,M  ,NO  ,P3
 575 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 394040 ,AU  ,BCC ,F  ,NO  ,P4
 576 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 398417 ,OU  ,OC  ,F  ,NO  ,P2
 577 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 398481 ,OU  ,BCB ,F  ,NO  ,P1
 578 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 398684 ,OU  ,BCB ,F  ,NO  ,P1
 579 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 398693 ,OU  ,BCD ,F  ,NO  ,P3
 580 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 401149 ,OU  ,OC  ,M  ,NO  ,P2
 581 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 401881 ,OU  ,SC  ,F  ,NO  ,P2
 582 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 407610 ,OU  ,BCD ,M  ,NO  ,P1
 583 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 407987 ,OU  ,OC  ,F  ,NO  ,P1
 584 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 410331 ,OU  ,BCA ,F  ,NO  ,P3
 585 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 416865 ,AU  ,BCD ,M  ,NO  ,P3
 586 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 419435 ,OU  ,OC  ,M  ,NO  ,P1
 587 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 420477 ,OU  ,SC  ,M  ,NO  ,P1
 588 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 422844 ,OU  ,OC  ,M  ,NO  ,P1
 589 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 423052 ,OU  ,OC  ,M  ,NO  ,P3
 590 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 423948 ,OU  ,SC  ,F  ,NO  ,P3
 591 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 426374 ,OU  ,ST  ,M  ,NO  ,P1
 592 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 428433 ,OU  ,BCA ,F  ,NO  ,P3
 593 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 428783 ,OU  ,BCD ,F  ,NO  ,P1
 594 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 431242 ,OU  ,BCD ,M  ,NO  ,P3
 595 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 431380 ,OU  ,OC  ,F  ,NO  ,P3
 596 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 436542 ,OU  ,BCD ,F  ,NO  ,P1
 597 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 445750 ,OU  ,OC  ,M  ,NO  ,P3
 598 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 455425 ,OU  ,SC  ,M  ,NO  ,P3
 599 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 459430 ,OU  ,BCB ,M  ,NO  ,P3
 600 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 463465 ,OU  ,OC  ,M  ,NO  ,P3
 601 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 463600 ,OU  ,BCB ,M  ,NO  ,P3
 602 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 498290 ,NL  ,OC  ,M  ,NO  ,P2
 603 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 502055 ,AU  ,OC  ,F  ,NO  ,P2
 604 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 510797 ,OU  ,OC  ,M  ,NO  ,P1
 605 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 577130 ,OU  ,BCB ,M  ,NO  ,P4
 606 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 598922 ,NL  ,OC  ,M  ,NO  ,P2
 607 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 600831 ,SVU ,OC  ,F  ,NO  ,P3
 608 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 607856 ,OU  ,OC  ,F  ,NO  ,P1
 609 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 660674 ,OU  ,OC  ,M  ,NO  ,P2
 610 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 681936 ,SVU ,OC  ,F  ,NO  ,P3
 611 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 750069 ,OU  ,OC  ,M  ,NO  ,P4
 612 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 772077 ,NL  ,OC  ,M  ,NO  ,P2
 613 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 811625 ,OU  ,BCB ,M  ,NO  ,P3
 614 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 912343 ,SVU ,OC  ,F  ,NO  ,P3
 615 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 926581 ,OU  ,BCD ,M  ,NO  ,P3
 616 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       , 929029 ,OU  ,OC  ,F  ,NO  ,P2
 617 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       ,1020612 ,OU  ,ST  ,F  ,NO  ,P3
 618 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       ,1046980 ,SVU ,SC  ,M  ,NO  ,P2
 619 ,"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL"       ,1183112 ,OU  ,BCB ,M  ,NO  ,P2
 620 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,  71114 ,SVU ,OC  ,F  ,NO  ,P2
 621 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,  91286 ,NL  ,OC  ,M  ,NO  ,P1
 622 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,  93025 ,NL  ,OC  ,F  ,NO  ,P3
 623 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,  99222 ,NL  ,OC  ,M  ,NO  ,P3
 624 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,  99387 ,NL  ,OC  ,F  ,NO  ,P3
 625 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 100501 ,NL  ,OC  ,F  ,NO  ,P1
 626 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 103591 ,NL  ,OC  ,M  ,NO  ,P1
 627 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 105346 ,NL  ,OC  ,F  ,NO  ,P1
 628 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 176696 ,OU  ,BCD ,M  ,NO  ,P1
 629 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 190669 ,OU  ,BCB ,F  ,NO  ,P1
 630 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 192143 ,OU  ,BCB ,F  ,NO  ,P1
 631 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 203256 ,OU  ,BCD ,F  ,NO  ,P1
 632 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 204356 ,OU  ,BCE ,M  ,NO  ,P1
 633 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 209758 ,OU  ,BCD ,M  ,NO  ,P1
 634 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 212700 ,OU  ,BCB ,M  ,NO  ,P1
 635 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 213969 ,OU  ,OC  ,F  ,NO  ,P1
 636 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 216911 ,OU  ,OC  ,M  ,NO  ,P1
 637 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 217419 ,OU  ,OC  ,M  ,NO  ,P1
 638 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 218168 ,OU  ,BCD ,M  ,NO  ,P1
 639 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 219914 ,OU  ,BCD ,M  ,NO  ,P1
 640 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 220468 ,OU  ,BCB ,M  ,NO  ,P1
 641 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 221123 ,OU  ,BCD ,F  ,NO  ,P1
 642 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 221252 ,OU  ,BCD ,F  ,NO  ,P2
 643 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 222601 ,OU  ,BCD ,F  ,NO  ,P1
 644 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 224578 ,OU  ,OC  ,F  ,NO  ,P1
 645 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 226713 ,OU  ,BCD ,F  ,NO  ,P1
 646 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 226966 ,OU  ,OC  ,M  ,NO  ,P1
 647 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 228464 ,OU  ,OC  ,F  ,NO  ,P1
 648 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 231077 ,OU  ,BCB ,M  ,NO  ,P1
 649 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 231580 ,OU  ,BCD ,F  ,NO  ,P1
 650 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 232074 ,OU  ,BCD ,M  ,NO  ,P2
 651 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 236132 ,OU  ,OC  ,F  ,NO  ,P2
 652 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 240320 ,OU  ,BCD ,F  ,NO  ,P1
 653 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 242318 ,OU  ,ST  ,F  ,NO  ,P2
 654 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 242397 ,OU  ,BCD ,M  ,NO  ,P1
 655 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 242847 ,OU  ,OC  ,F  ,NO  ,P2
 656 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 245065 ,OU  ,OC  ,F  ,NO  ,P1
 657 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 249027 ,OU  ,BCD ,F  ,NO  ,P1
 658 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 250033 ,OU  ,OC  ,F  ,NO  ,P1
 659 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 251916 ,OU  ,OC  ,M  ,NO  ,P1
 660 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 253505 ,OU  ,BCB ,M  ,NO  ,P1
 661 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 256378 ,OU  ,BCD ,F  ,NO  ,P1
 662 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 256448 ,OU  ,OC  ,F  ,NO  ,P1
 663 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 256661 ,OU  ,OC  ,F  ,NO  ,P1
 664 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 258024 ,OU  ,BCD ,M  ,NO  ,P1
 665 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 258070 ,OU  ,BCD ,F  ,NO  ,P1
 666 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 258261 ,OU  ,BCB ,M  ,NO  ,P1
 667 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 259699 ,OU  ,BCB ,F  ,NO  ,P1
 668 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 259734 ,OU  ,BCB ,M  ,NO  ,P2
 669 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 261289 ,OU  ,BCA ,F  ,NO  ,P3
 670 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 307981 ,OU  ,ST  ,F  ,NO  ,P4
 671 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 443771 ,OU  ,OC  ,F  ,NO  ,P1
 672 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 552086 ,OU  ,BCB ,F  ,NO  ,P2
 673 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 642434 ,OU  ,OC  ,F  ,NO  ,P2
 674 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 658444 ,OU  ,OC  ,F  ,NO  ,P1
 675 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 671054 ,OU  ,SC  ,F  ,NO  ,P1
 676 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 689655 ,OU  ,BCE ,F  ,NO  ,P1
 677 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 700185 ,OU  ,ST  ,F  ,NO  ,P1
 678 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 720548 ,OU  ,SC  ,M  ,NO  ,P2
 679 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 766443 ,OU  ,ST  ,F  ,NO  ,P1
 680 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 769262 ,NL  ,OC  ,M  ,NO  ,P1
 681 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 778117 ,OU  ,OC  ,F  ,NO  ,P3
 682 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 809165 ,OU  ,BCA ,M  ,NO  ,P1
 683 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 813202 ,OU  ,OC  ,F  ,NO  ,P1
 684 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 822563 ,OU  ,OC  ,F  ,NO  ,P1
 685 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 829941 ,OU  ,OC  ,M  ,NO  ,P1
 686 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 833776 ,OU  ,OC  ,F  ,NO  ,P1
 687 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 881209 ,OU  ,BCD ,M  ,NO  ,P1
 688 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         , 999779 ,OU  ,OC  ,M  ,NO  ,P1
 689 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,1002846 ,OU  ,BCB ,F  ,NO  ,P1
 690 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,1030911 ,OU  ,BCD ,F  ,NO  ,P1
 691 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,1103888 ,OU  ,ST  ,M  ,NO  ,P1
 692 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,1110548 ,OU  ,ST  ,M  ,NO  ,P1
 693 ,"S.V.S. MEDICAL COLLEGE, MAHABUBNAGAR"                         ,1139706 ,OU  ,BCA ,F  ,NO  ,P1
 694 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                ,  92192 ,NL  ,OC  ,F  ,NO  ,P2
 695 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                ,  94634 ,NL  ,OC  ,M  ,NO  ,P2
 696 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                ,  96163 ,NL  ,OC  ,M  ,NO  ,P2
 697 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 111115 ,NL  ,OC  ,F  ,NO  ,P1
 698 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 113923 ,NL  ,OC  ,F  ,NO  ,P1
 699 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 114887 ,NL  ,OC  ,F  ,NO  ,P1
 700 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 121560 ,NL  ,OC  ,M  ,NO  ,P1
 701 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 121761 ,NL  ,OC  ,M  ,NO  ,P1
 702 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 228723 ,OU  ,OC  ,M  ,NO  ,P1
 703 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 272995 ,OU  ,BCB ,F  ,NO  ,P1
 704 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 281817 ,OU  ,BCB ,M  ,NO  ,P1
 705 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 289020 ,OU  ,BCD ,M  ,NO  ,P1
 706 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 296548 ,NL  ,OC  ,F  ,NO  ,P4
 707 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 329649 ,AU  ,OC  ,F  ,NO  ,P4
 708 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 339268 ,OU  ,OC  ,F  ,NO  ,P2
 709 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 349629 ,OU  ,OC  ,M  ,NO  ,P2
 710 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 351512 ,OU  ,BCD ,F  ,NO  ,P2
 711 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 358630 ,OU  ,OC  ,F  ,NO  ,P2
 712 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 370362 ,OU  ,BCD ,F  ,NO  ,P1
 713 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 387681 ,OU  ,BCD ,F  ,NO  ,P2
 714 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 395137 ,OU  ,BCA ,F  ,NO  ,P3
 715 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 396447 ,OU  ,OC  ,F  ,NO  ,P2
 716 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 397602 ,OU  ,BCB ,M  ,NO  ,P1
 717 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 398499 ,OU  ,BCD ,F  ,NO  ,P3
 718 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 398793 ,OU  ,SC  ,F  ,NO  ,P1
 719 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 399080 ,OU  ,BCB ,M  ,NO  ,P3
 720 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 407891 ,OU  ,OC  ,F  ,NO  ,P1
 721 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 408673 ,OU  ,OC  ,F  ,NO  ,P1
 722 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 410354 ,OU  ,OC  ,F  ,NO  ,P1
 723 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 414892 ,OU  ,BCD ,F  ,NO  ,P1
 724 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 418209 ,OU  ,BCB ,F  ,NO  ,P1
 725 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 419531 ,OU  ,BCD ,M  ,NO  ,P1
 726 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 419680 ,OU  ,ST  ,M  ,NO  ,P1
 727 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 422623 ,OU  ,BCD ,F  ,NO  ,P3
 728 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 422719 ,OU  ,OC  ,F  ,NO  ,P1
 729 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 430718 ,OU  ,BCA ,M  ,NO  ,P1
 730 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 432224 ,OU  ,BCD ,M  ,NO  ,P1
 731 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 432700 ,OU  ,ST  ,F  ,NO  ,P3
 732 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 435672 ,OU  ,OC  ,F  ,NO  ,P3
 733 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 435797 ,OU  ,BCB ,F  ,NO  ,P3
 734 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 435828 ,OU  ,BCD ,M  ,NO  ,P1
 735 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 438133 ,OU  ,OC  ,F  ,NO  ,P3
 736 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 439187 ,OU  ,OC  ,M  ,NO  ,P1
 737 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 439262 ,OU  ,BCA ,M  ,NO  ,P1
 738 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 439392 ,OU  ,OC  ,M  ,NO  ,P1
 739 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 440825 ,OU  ,BCA ,M  ,NO  ,P1
 740 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 440959 ,OU  ,OC  ,F  ,NO  ,P1
 741 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 441550 ,OU  ,BCB ,M  ,NO  ,P1
 742 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 447977 ,OU  ,OC  ,F  ,NO  ,P3
 743 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 448578 ,OU  ,OC  ,F  ,NO  ,P4
 744 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 449479 ,OU  ,BCD ,M  ,NO  ,P3
 745 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 451156 ,OU  ,OC  ,F  ,NO  ,P3
 746 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 453222 ,OU  ,OC  ,F  ,NO  ,P3
 747 ,"MAHESHWARA MEDICAL COLLEGE, PATANCHERU, MEDAK"                , 453485 ,OU  ,BCD ,M  ,NO  ,P3
