COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"MAMATA MEDICAL COLLEGE, KHAMMAM",242438,OU,BCE,F,MSM,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",242643,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",243716,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",243717,,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",245108,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",248399,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",248726,OU,SC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",252111,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",253926,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",260375,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",261330,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",263114,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",264780,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",266564,OU,BCB,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",266644,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",268125,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",268804,OU,OC,M,MSM,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",269752,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",270765,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",271394,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",271731,OU,BCB,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",272047,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",274594,OU,BCA,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",274655,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",277178,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",281669,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",281820,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",281821,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",281966,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",283201,OU,BCB,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",283631,OU,BCB,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",283774,OU,OC,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",283932,OU,BCD,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",284899,OU,BCB,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",286148,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",286777,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",287437,OU,BCD,F,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",288446,OU,OC,M,,,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",540856,NL,OC,F,,NRI,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",864763,NL,OC,F,,NRI,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",1029887,SVU,ST,M,,NRI,,,P1
"MAMATA MEDICAL COLLEGE, KHAMMAM",1133664,OU,BCB,M,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",109189,AU,BCA,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",109404,NL,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",113158,NL,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",113166,AU,BCA,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",114377,NL,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",114573,NL,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",117896,NL,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",119234,NL,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",121127,NL,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",121997,AU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",122423,NL,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",174414,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",179708,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",190667,OU,BCD,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",204951,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",214163,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",223308,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",227062,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",233537,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",239040,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",239141,OU,BCB,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",269706,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",279893,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",285942,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",286671,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",286799,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",288706,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",288745,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",291564,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",292568,OU,OC,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",292793,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",293799,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",294474,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",294796,OU,BCD,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",295656,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",296112,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",297927,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",298312,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",301571,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",301726,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",301835,OU,OC,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",305426,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",307945,OU,OC,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",310233,OU,ST,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",310629,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",310962,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",312076,OU,BCB,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",314491,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",317244,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",317893,OU,SC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",319029,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",320209,OU,OC,M,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",321572,OU,BCD,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",321735,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",323185,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",323435,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",323622,OU,BCE,M,MSM,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",325456,OU,BCA,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",325506,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",325518,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",325817,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",329064,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",329416,OU,BCB,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",331624,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",332044,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",334086,OU,BCE,M,MSM,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",335378,OU,OC,M,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",335446,OU,ST,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",335694,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",337350,OU,OC,F,,,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",371988,NL,OC,M,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",483777,OU,OC,M,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",726416,OU,BCB,M,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",789312,OU,BCE,F,MSM,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",803788,OU,BCB,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",821241,OU,BCB,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",896902,OU,OC,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",897064,OU,SC,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",1068512,OU,BCD,F,,NRI,,,P1
"C ANANDA RAO IINSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",1108315,OU,BCB,F,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",CRS,,,,,,,,
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",100297,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",105181,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",105265,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",106563,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",107291,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",107596,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",107778,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",108983,NL,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",110252,NL,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",111981,NL,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",113351,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",113544,NL,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",114219,AU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",216729,OU,BCB,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",232912,OU,BCB,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",248806,OU,BCB,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",248976,OU,OC,M,MSM,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",249211,OU,BCB,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",254942,OU,BCB,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",274797,OU,BCE,M,MSM,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",288722,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",288826,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",289272,OU,BCE,F,MSM,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",289504,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",292194,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",292257,OU,BCB,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",294277,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",299820,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",301299,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",302886,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",304769,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",306582,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",306616,OU,ST,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",307960,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",310177,OU,OC,F,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",310258,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",314675,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",315284,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",318359,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",318701,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",320417,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",323867,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",324382,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",325522,OU,OC,M,MSM,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",327451,OU,BCB,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",329405,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",329452,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",330412,OU,SC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",331090,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",332183,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",332666,OU,ST,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",333851,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",334515,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",334787,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",335435,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",337583,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",337590,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",338073,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",338074,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",339308,OU,BCB,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",339731,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",341034,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",341526,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",341582,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",343241,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",343245,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",343826,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",344222,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",345338,OU,SC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",345414,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",346253,OU,BCA,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",346396,OU,BCD,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347259,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347317,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347358,OU,OC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347473,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347494,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",347527,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",349231,OU,BCA,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",350070,OU,SC,M,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",351073,OU,BCA,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",351512,OU,BCD,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",351868,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",352145,OU,OC,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",353160,OU,BCB,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",353561,OU,BCD,F,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",353568,OU,BCB,F,,,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",675816,OU,BCE,M,MSM,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",757986,NL,OC,F,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",910305,OU,OC,F,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",947996,OU,OC,M,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",970884,NL,BCB,M,,NRI,,,P1
"PRATHIMA INSTITUTE OF MEDICAL SCIENCES, KARIMNAGAR",1208966,OU,BCB,F,,NRI,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",112734,NL,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",124798,SVU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",128038,SVU,OC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",129946,NL,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",130397,AU,BCB,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",130610,AU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",130714,NL,OC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",132384,AU,OC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",213241,OU,OC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",219506,OU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",240701,OU,BCD,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",248590,OU,BCD,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",261270,OU,BCB,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",276221,OU,BCA,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",278287,OU,BCB,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",297905,OU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",309242,OU,BCD,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",320189,OU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",324048,OU,BCB,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",324065,OU,BCD,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",324219,OU,SC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",349629,OU,OC,M,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",358630,OU,OC,F,,NRI,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",358845,OU,OC,F,,,,,P1
"PRATIMA RELIEF INSTITUTE OF MEDICAL SCIENCES, WARANGAL",360384,OU,BCA,F,,,,,P1
