RANK
214256
263378
307555
336204
363507
586510
749510
868669
150928
156144
199893
212394
494868
618344
635258
886189
502515
667014
675109
707208
773223
1045206
984496
1184794
535581
1000144
696422
1153292
1009277
1155340
644972
658826
426460
576739
975556
657375
24052
433555
10636
79467
251943
157331
128800
190077
176419
299671
257409
221028
396708
596958
666385
218870
295650
232709
260609
256469
321698
197530
41356
61227
267904
223072
212979
342986
181586
233212
222587
258053
127921
343299
339632
156659
295619
857204
188492
242796
102477
348909
542913
132018
137584
146427
159339
201342
220877
243631 

 
