NEET Rank,NEET Roll No,NEET Score,Gender,Category,Local,EWS,State Rank
678242,1203020445,210,F,SC,SVU,NO,13157
678385,1201050364,210,F,OC,AU,NO,13158
678738,1204060228,210,F,BCB,SVU,NO,13159
680138,1205160048,210,F,BCB,SVU,NO,13160
681496,1205170272,210,M,BCB,AU,NO,13161
682044,1225050082,209,F,BCB,AU,NO,13162
682268,1201040317,209,F,BCB,AU,NO,13163
682388,1206100363,209,F,BCD,AU,NO,13164
682492,1205030340,209,F,SC,AU,NO,13165
682525,1204050232,209,F,BCA,SVU,NO,13166
682598,1205120152,209,F,SC,SVU,NO,13167
682716,1212010129,209,M,OC,SVU,NO,13168
682863,1206090026,209,F,OC,AU,NO,13169
683699,1212040323,209,M,BCE,SVU,NO,13170
684826,4204020118,209,F,OC,OU,NO,13171
685078,4201280251,209,F,OC,OU,NO,13172
686197,1202060003,208,F,BCA,SVU,NO,13173
686470,1205220223,208,F,ST,AU,NO,13174
687168,1205080547,208,F,BCD,AU,NO,13175
687389,4201200231,208,M,BCC,OU,NO,13176
687963,1201030287,208,M,SC,AU,NO,13177
689063,1206070031,207,F,OC,AU,NO,13178
689141,1203040079,207,M,SC,SVU,NO,13179
689208,1203020745,207,M,BCB,SVU,NO,13180
689251,4201060331,207,F,OC,SVU,NO,13181
689644,1201100281,207,F,SC,AU,NO,13182
689785,1221020003,207,F,OC,SVU,NO,13183
690232,1205240268,207,F,BCB,AU,NO,13184
690329,1205120014,207,F,ST,AU,NO,13185
690871,1205020216,207,F,SC,AU,NO,13186
692030,1203030498,207,F,BCC,SVU,NO,13187
692468,1206090063,206,F,SC,AU,NO,13188
692591,1205050005,206,M,BCD,SVU,NO,13189
692876,1225020230,206,F,BCA,AU,NO,13190
692983,1203040077,206,F,SC,SVU,NO,13191
693386,1228040202,206,F,SC,AU,NO,13192
693434,1224040190,206,F,OC,AU,YES,13193
693654,1213010648,206,F,SC,AU,NO,13194
693836,1206030618,206,M,BCD,AU,NO,13195
694140,1206160407,206,F,OC,AU,NO,13196
694213,4201350243,206,F,OC,OU,NO,13197
694336,1229020094,206,F,BCD,AU,NO,13198
694657,1204080115,206,M,SC,SVU,NO,13199
695997,1202040423,205,F,SC,SVU,NO,13200
696030,1229030017,205,Female,BCB,AU,NO,13201
696030,1229030017,205,F,BCB,AU,YES,13202
696031,1205010793,205,M,OC,AU,NO,13203
696501,1203010537,205,M,BCC,SVU,NO,13204
696693,1202010993,205,M,OC,SVU,NO,13205
697008,4201040825,205,F,BCD,OU,NO,13206
697916,1206060359,205,F,BCB,AU,NO,13207
697988,4209030459,205,F,BCB,OU,NO,13208
698007,1206100134,205,F,SC,AU,NO,13209
698494,2712400290,205,F,OC,NL,NO,13210
699701,1205220373,205,M,BCE,SVU,NO,13211
700114,1202050475,204,F,SC,SVU,NO,13212
700503,1220011077,204,F,SC,AU,NO,13213
701432,4201290476,204,F,OC,AU,YES,13214
701813,1204030427,204,F,BCD,SVU,NO,13215
701922,1209010502,204,M,BCB,AU,NO,13216
703488,1502130248,204,F,ST,APNL,NO,13217
703571,1205160369,204,M,ST,OU,NO,13218
703735,1201100259,203,F,SC,AU,NO,13219
703968,1206020355,203,F,SC,AU,NO,13220
704210,1205110383,203,F,SC,AU,NO,13221
704466,4219030109,203,F,OC,OU,NO,13222
704474,1202010018,203,F,BCE,SVU,NO,13223
704871,4201030655,203,F,ST,OU,NO,13224
705283,1215020041,203,F,SC,SVU,NO,13225
706732,1205190291,203,F,OC,AU,NO,13226
707573,1204030354,202,F,OC,SVU,NO,13227
707598,1216020123,202,F,SC,AU,NO,13228
707785,1206140253,202,F,BCD,AU,NO,13229
708437,4201010579,202,M,OC,SVU,NO,13230
708625,1206080042,202,F,SC,AU,NO,13231
708987,1201060310,202,M,BCD,AU,NO,13232
709117,4219010482,202,F,SC,AU,NO,13233
709463,2712120017,202,M,OC,APNL,NO,13234
709754,4101090358,202,M,SC,NL,NO,13235
709772,1205060199,202,F,BCB,SVU,NO,13236
709901,1219040340,202,F,OC,SVU,NO,13237
710758,1201120381,201,F,SC,AU,NO,13238
710760,1202060530,201,F,OC,SVU,NO,13239
711378,1212020505,201,F,OC,SVU,YES,13240
711715,1206090008,201,F,BCC,AU,NO,13241
712204,1222030025,201,M,BCA,AU,NO,13242
712240,1204010763,201,M,ST,SVU,NO,13243
712386,4201090344,201,F,OC,AU,NO,13244
712547,1201010556,201,F,OC,AU,NO,13245
713178,1205020044,201,M,SC,AU,NO,13246
713273,4201130101,201,F,OC,OU,NO,13247
714914,1223020322,200,M,SC,SVU,NO,13248
714933,1203060093,200,F,BCA,SVU,NO,13249
715615,1206080496,200,F,SC,AU,NO,13250
716769,1202030269,200,F,BCA,SVU,NO,13251
717658,1206080347,200,M,BCD,AU,NO,13252
718271,1204020806,200,F,OC,SVU,YES,13253
718863,1220070179,199,M,OC,AU,NO,13254
719406,1205210373,199,F,BCB,AU,NO,13255
719460,1201110006,199,F,SC,AU,NO,13256
719542,1219030373,199,F,BCA,SVU,NO,13257
719704,1220020369,199,M,OC,AU,NO,13258
719715,1222030095,199,F,BCB,AU,NO,13259
719769,1220020270,199,M,SC,AU,NO,13260
719836,1205040140,199,F,BCA,SVU,NO,13261
720273,1224010136,199,F,BCB,AU,NO,13262
721266,4201370130,199,F,SC,OU,NO,13263
721295,1224070096,199,M,OC,AU,NO,13264
721684,1206050323,199,F,BCD,AU,NO,13265
722708,1206060160,198,F,BCD,AU,NO,13266
722811,1204090135,198,M,BCA,SVU,NO,13267
723779,1224030474,198,F,BCC,AU,NO,13268
723929,1206010335,198,M,BCD,AU,NO,13269
725082,1205050179,198,F,BCB,AU,NO,13270
726296,4201080352,197,M,OC,OU,NO,13271
726462,4201070716,197,M,BCD,OU,NO,13272
726485,1228010317,197,F,BCB,AU,NO,13273
726893,2711030385,197,F,BCE,SVU,NO,13274
727419,4201030232,197,F,SC,SVU,NO,13275
728047,1229020189,197,F,ST,AU,NO,13276
728108,1205060201,197,M,SC,AU,NO,13277
728664,1229040023,197,F,BCA,AU,NO,13278
729869,1201080095,196,F,OC,AU,NO,13279
729980,1220011047,196,F,ST,AU,NO,13280
730611,1206120289,196,M,OC,AU,YES,13281
730709,1206010772,196,F,BCD,AU,NO,13282
731623,1220040142,196,F,BCA,AU,NO,13283
731630,1202020558,196,M,SC,SVU,NO,13284
731869,1224020024,196,F,ST,AU,NO,13285
732291,1205110458,196,F,ST,SVU,NO,13286
732492,1205080247,196,F,BCE,AU,NO,13287
732910,1204050181,196,F,ST,SVU,NO,13288
733187,1205040783,196,M,SC,AU,NO,13289
733500,1220010257,195,M,BCE,AU,NO,13290
733738,1219040320,195,F,BCE,SVU,NO,13291
734961,1202020833,195,F,SC,SVU,NO,13292
738001,1205060453,194,F,SC,AU,NO,13293
738185,1213010322,194,F,OC,AU,NO,13294
738203,1205250003,194,F,OC,AU,YES,13295
738240,1221010477,194,F,SC,SVU,NO,13296
738586,1203030008,194,M,OC,SVU,NO,13297
739275,1205170193,194,F,SC,AU,NO,13298
739561,1201030083,194,F,OC,AU,YES,13299
742144,1206130323,193,F,OC,AU,NO,13300
742581,1225010145,193,F,BCD,AU,NO,13301
742719,1224020452,193,F,BCD,AU,NO,13302
742918,1206030543,193,F,OC,APNL,YES,13303
744339,1205050470,193,F,BCE,AU,NO,13304
745551,1206010574,192,F,BCC,AU,NO,13305
745808,1205180477,192,M,ST,AU,NO,13306
746215,1201080121,192,F,OC,AU,NO,13307
746587,1203020022,192,F,BCD,SVU,NO,13308
746776,1222010260,192,F,OC,AU,YES,13309
746812,1205190141,192,M,ST,AU,NO,13310
747054,1205100417,192,F,BCE,AU,NO,13311
747151,1205060434,192,F,SC,AU,NO,13312
747308,1201010341,192,M,OC,AU,NO,13313
747425,4201060645,192,M,OC,OU,NO,13314
747684,1201030194,192,F,OC,AU,YES,13315
749068,1201120363,191,M,BCE,AU,NO,13316
749920,1224010504,191,F,BCC,AU,NO,13317
750243,1212020567,191,F,BCE,SVU,NO,13318
750543,1206090409,191,F,BCA,AU,NO,13319
750572,1202010251,191,F,SC,SVU,NO,13320
750884,1224040243,191,F,ST,AU,NO,13321
750893,1205160052,191,F,SC,OU,NO,13322
750942,1219040053,191,F,SC,SVU,NO,13323
751296,1221010089,191,F,SC,SVU,NO,13324
752022,1216030017,191,F,SC,AU,NO,13325
752465,1205110257,191,F,OC,AU,NO,13326
754533,1206060141,190,F,BCA,AU,NO,13327
756115,1229030123,190,M,BCD,AU,NO,13328
756317,1209010624,190,F,SC,AU,NO,13329
756995,1212040039,190,M,BCB,SVU,NO,13330
757574,4201170271,189,M,OC,OU,NO,13331
759053,1206060460,189,F,SC,AU,NO,13332
759982,1204020602,189,F,ST,SVU,NO,13333
760242,2705070032,189,F,BCE,NL,NO,13334
760606,1225040033,189,F,SC,AU,NO,13335
760612,1214010246,189,M,SC,AU,NO,13336
762232,1219020211,188,F,BCB,SVU,NO,13337
762497,1205080313,188,F,SC,SVU,NO,13338
763086,1204030336,188,M,OC,SVU,NO,13339
765391,1206060073,187,F,BCA,AU,NO,13340
765607,1223020356,187,F,OC,SVU,NO,13341
766073,1203010935,187,M,OC,SVU,NO,13342
766576,1224080161,187,F,SC,AU,NO,13343
766632,1206120077,187,M,BCC,AU,NO,13344
766922,4203020079,187,F,OC,AU,NO,13345
767605,1220010893,187,M,SC,AU,NO,13346
767694,1201030198,187,F,SC,AU,NO,13347
770283,1220070191,186,F,OC,AU,NO,13348
770343,1202040040,186,M,BCB,SVU,NO,13349
770909,1205070592,186,M,OC,AU,YES,13350
771176,1206040011,186,F,OC,AU,NO,13351
771693,1212020323,186,M,BCE,SVU,NO,13352
772095,4205060230,186,F,BCD,OU,NO,13353
773125,1203020746,185,F,SC,SVU,NO,13354
773385,1206100139,185,F,SC,AU,NO,13355
773588,1206010081,185,F,BCB,AU,NO,13356
773750,1203020371,185,F,SC,SVU,NO,13357
774189,1224060281,185,M,SC,AU,NO,13358
774513,4201030200,185,F,OC,AU,NO,13359
774754,1203010338,185,F,BCD,SVU,NO,13360
774926,1205070123,185,F,BCD,AU,NO,13361
775221,1224010355,185,F,SC,AU,NO,13362
775660,1205050040,185,F,OC,AU,YES,13363
776651,1204010176,185,F,BCB,SVU,NO,13364
778896,1205230140,184,F,SC,AU,NO,13365
778959,1216030170,184,F,BCD,AU,NO,13366
779295,4201360245,184,M,OC,OU,NO,13367
780919,1205130133,184,F,ST,AU,NO,13368
781073,4215010242,184,F,ST,OU,NO,13369
782346,1209010358,183,M,ST,AU,NO,13370
782626,1204070350,183,M,SC,SVU,NO,13371
783530,1205020109,183,F,SC,AU,NO,13372
785145,1223010037,183,F,ST,SVU,NO,13373
785391,1205230229,183,F,SC,SVU,NO,13374
786543,1203010700,182,M,SC,SVU,NO,13375
786885,1221020149,182,M,BCB,AU,NO,13376
786911,1205040310,182,F,SC,AU,NO,13377
787186,1213010417,182,F,BCB,AU,NO,13378
787274,1203010932,182,F,BCA,SVU,NO,13379
788011,1206080235,182,F,BCD,AU,NO,13380
789269,1203030481,182,F,ST,SVU,NO,13381
790002,1205020828,181,F,BCD,SVU,NO,13382
790052,1206030399,181,F,ST,AU,NO,13383
790406,1209010097,181,F,BCC,AU,NO,13384
790433,4220050188,181,M,BCA,AU,NO,13385
790734,1206130219,181,F,BCD,AU,NO,13386
790781,1203030466,181,M,ST,SVU,NO,13387
791037,1228010279,181,M,SC,AU,NO,13388
791169,1205040382,181,M,SC,AU,NO,13389
791195,1213010071,181,F,SC,AU,NO,13390
791294,1224050073,181,M,OC,AU,NO,13391
792643,1221010437,181,F,ST,SVU,NO,13392
793226,1221010495,181,F,OC,SVU,YES,13393
793226,1221010495,181,Female,OC,SVU,YES,13394
794217,1205220300,180,M,ST,AU,NO,13395
794322,1206130067,180,F,BCD,AU,NO,13396
794775,4204030141,180,F,OC,OU,NO,13397
794849,1204040222,180,F,SC,SVU,NO,13398
794926,1205030475,180,F,OC,AU,YES,13399
796105,1205010696,180,F,OC,SVU,NO,13400
796289,1216030267,180,M,BCC,AU,NO,13401
796675,1205190237,180,F,BCC,AU,NO,13402
796717,1206060033,180,F,ST,AU,NO,13403
796852,1213010238,180,F,BCA,AU,NO,13404
797372,1206020484,180,F,BCB,AU,NO,13405
797726,1206090489,180,F,BCD,AU,NO,13406
798161,4203051634,180,F,ST,OU,NO,13407
798343,1202010402,180,F,BCE,SVU,NO,13408
798637,1208020217,180,F,BCA,AU,NO,13409
799181,1206080393,179,F,ST,AU,NO,13410
799559,1202070251,179,M,BCB,SVU,NO,13411
799605,1214010489,179,F,SC,AU,NO,13412
799639,1229040110,179,F,BCD,AU,NO,13413
799722,1205270351,179,M,BCB,SVU,NO,13414
799748,1212010895,179,F,SC,SVU,NO,13415
801041,1214010530,179,F,OC,AU,YES,13416
801234,1204080267,179,M,SC,SVU,NO,13417
801568,1206090349,179,F,BCA,AU,NO,13418
801669,1220020103,179,F,BCB,AU,NO,13419
801824,1220050048,179,F,BCE,AU,NO,13420
802041,1215020299,179,M,OC,SVU,NO,13421
802300,1206060281,179,M,OC,AU,NO,13422
802757,1205230344,179,M,ST,AU,NO,13423
803806,1225010658,178,F,BCE,AU,NO,13424
803811,1206130094,178,F,OC,AU,NO,13425
804464,1224070288,178,F,BCC,AU,NO,13426
805079,1206030628,178,M,SC,AU,NO,13427
805273,1206060226,178,F,BCD,AU,NO,13428
805337,4201030636,178,M,BCD,OU,NO,13429
805673,1206060076,178,F,OC,AU,NO,13430
806146,1204030649,178,M,SC,SVU,NO,13431
807291,4201110700,177,F,BCA,OU,NO,13432
807831,1206060473,177,F,ST,AU,NO,13433
808572,1213010496,177,M,OC,AU,NO,13434
809450,1213010747,177,F,BCA,AU,NO,13435
809613,1201020438,177,F,BCE,AU,NO,13436
811020,1209010312,177,F,OC,AU,NO,13437
811087,1220010178,177,F,BCA,AU,NO,13438
811095,1221010408,177,F,SC,SVU,NO,13439
812336,1208010108,176,F,SC,AU,NO,13440
812432,4201410284,176,F,SC,OU,NO,13441
812895,1205210115,176,M,BCB,AU,NO,13442
813853,4205040379,176,M,SC,OU,NO,13443
813918,1212010471,176,F,OC,SVU,YES,13444
814142,1203060724,176,F,SC,SVU,NO,13445
814171,1202050254,176,F,SC,SVU,NO,13446
814422,1203030440,176,F,SC,SVU,NO,13447
814558,1206160018,176,F,BCD,AU,NO,13448
816424,1220060233,175,F,SC,AU,NO,13449
816519,1204080270,175,F,OC,SVU,NO,13450
816545,1224020163,175,F,ST,AU,NO,13451
816684,1220060013,175,M,SC,AU,NO,13452
816974,4219020313,175,F,BCB,OU,NO,13453
817510,4201220517,175,M,SC,OU,NO,13454
817848,1204080247,175,F,BCB,SVU,NO,13455
818019,1201050192,175,F,BCB,AU,NO,13456
818769,1205230093,175,F,BCD,AU,NO,13457
818950,4201420233,175,M,OC,AU,YES,13458
821608,9912010115,174,F,OC,APNL,NO,13459
821653,1209010554,174,F,BCC,AU,NO,13460
821857,4213010371,174,F,ST,OU,NO,13461
821957,1201030469,174,F,SC,AU,NO,13462
822090,1206070307,174,M,SC,AU,NO,13463
822637,1201080281,174,F,ST,SVU,NO,13464
825243,1206010379,173,F,OC,AU,NO,13465
825548,1220010961,173,F,ST,AU,NO,13466
826103,1206050483,173,M,OC,AU,NO,13467
826264,1205030002,173,F,SC,AU,NO,13468
826539,1202010095,173,M,BCE,SVU,NO,13469
828035,4201240035,173,F,OC,NL,NO,13470
829361,1205050652,173,M,OC,SVU,NO,13471
829519,1204020632,172,M,SC,SVU,NO,13472
829779,1202020805,172,F,BCB,SVU,NO,13473
829783,1208020480,172,M,ST,AU,NO,13474
829860,1206090414,172,F,BCB,AU,NO,13475
830234,1220080104,172,F,SC,AU,NO,13476
830777,1205190288,172,F,ST,SVU,NO,13477
830906,4201470277,172,M,OC,OU,NO,13478
830940,1201110130,172,F,ST,AU,NO,13479
830979,1209010035,172,M,OC,AU,NO,13480
831212,1202030760,172,F,SC,SVU,NO,13481
831417,1206100471,172,M,BCB,AU,NO,13482
832044,4201100286,172,M,ST,OU,NO,13483
834251,1216010502,171,F,ST,AU,NO,13484
834324,4215010438,171,M,ST,OU,NO,13485
834375,1205150242,171,M,BCC,AU,NO,13486
835235,1205200388,171,F,SC,AU,NO,13487
835535,1205050294,171,F,OC,AU,NO,13488
835571,1201090063,171,F,BCB,AU,NO,13489
835810,1206120232,171,F,OC,AU,NO,13490
838256,4202010953,170,F,SC,OU,NO,13491
838469,1206080170,170,F,SC,AU,NO,13492
839027,4215020303,170,F,ST,AU,NO,13493
839551,1206020663,170,F,SC,AU,NO,13494
839668,1212050099,170,M,SC,SVU,NO,13495
839846,1224010196,170,F,BCB,AU,NO,13496
841567,4208020643,170,F,SC,OU,NO,13497
843750,1206060247,169,F,SC,AU,NO,13498
844157,1219030241,169,F,SC,SVU,NO,13499
844178,1202040217,169,M,OC,SVU,NO,13500
844434,1212010622,169,M,BCA,SVU,NO,13501
844804,1202040705,169,F,SC,SVU,NO,13502
844873,4201010064,169,F,ST,OU,NO,13503
845760,1222030054,169,F,BCC,AU,NO,13504
845810,4201090161,169,F,OC,SVU,NO,13505
846383,1202030646,169,M,SC,SVU,NO,13506
848212,1202060292,168,F,SC,SVU,NO,13507
849300,1229010259,168,F,BCD,AU,NO,13508
849423,1205260003,168,F,SC,AU,NO,13509
849748,1214010478,168,F,BCD,AU,NO,13510
849921,1205120314,168,F,BCE,AU,NO,13511
